"ASSESSMENTYEAR","ECOREGION","GUILD","STOCKID","YEAR","METRIC","VALUE","valueMean","stockValue","guildValue","ecoValue"
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",1983,"F",0.51,0.484571428571429,1.05247641509434,1.05247641509434,0.917681996250333
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",1984,"F",0.53,0.484571428571429,1.09375,0.86686441308807,0.847417580805611
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",1985,"F",0.55,0.484571428571429,1.13502358490566,0.882373170074745,0.798883539485765
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",1986,"F",0.83,0.484571428571429,1.71285377358491,1.20329464535385,1.0523066224237
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",1987,"F",0.95,0.484571428571429,1.96049528301887,1.24376210940067,1.2071470333433
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",1988,"F",1.47,0.484571428571429,3.03360849056604,1.66604657007018,1.39981356099149
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",1989,"F",1.22,0.484571428571429,2.51768867924528,1.61643390460548,1.35276784941838
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",1990,"F",0.89,0.484571428571429,1.83667452830189,1.33697557046663,1.27023773374513
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",1991,"F",0.87,0.484571428571429,1.79540094339623,1.28292109600291,1.20870432362326
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",1992,"F",0.92,0.484571428571429,1.89858490566038,1.51976459197163,1.31678984164101
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",1993,"F",0.69,0.484571428571429,1.42393867924528,1.19548539281242,1.1895884097731
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",1994,"F",0.59,0.484571428571429,1.21757075471698,1.26292491150653,1.22955503115855
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",1995,"F",0.39,0.484571428571429,0.804834905660377,1.09400919603261,1.18540947656412
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",1996,"F",0.43,0.484571428571429,0.887382075471698,1.03423444503034,1.12753891209992
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",1997,"F",0.48,0.484571428571429,0.990566037735849,0.993919181269807,1.09215911935004
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",1998,"F",0.39,0.484571428571429,0.804834905660377,1.04078013290338,1.10649374296267
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",1999,"F",0.3,0.484571428571429,0.619103773584906,0.995877462459325,0.99519618240526
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",2000,"F",0.25,0.484571428571429,0.515919811320755,0.993259692731364,1.00464024252157
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",2001,"F",0.19,0.484571428571429,0.392099056603774,0.914982693938005,0.971102320029064
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",2002,"F",0.2,0.484571428571429,0.412735849056604,0.909681934578064,0.944619999283352
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",2003,"F",0.31,0.484571428571429,0.639740566037736,0.741295526614354,0.822217653055428
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",2004,"F",0.33,0.484571428571429,0.681014150943396,0.771217320618754,0.890475147199059
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",2005,"F",0.38,0.484571428571429,0.784198113207547,0.849904298254214,0.780807993315413
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",2006,"F",0.37,0.484571428571429,0.763561320754717,1.00748491051061,0.879671250717444
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",2007,"F",0.31,0.484571428571429,0.639740566037736,0.808443811436344,0.760386783410624
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",2008,"F",0.29,0.484571428571429,0.598466981132075,0.734619207970513,0.770726964722376
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",2009,"F",0.29,0.484571428571429,0.598466981132075,0.651128558674127,0.778700856261106
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",2010,"F",0.21,0.484571428571429,0.433372641509434,0.531491030790129,0.809402001305117
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",2011,"F",0.17,0.484571428571429,0.350825471698113,0.666075603573348,0.845616207498369
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",2012,"F",0.18,0.484571428571429,0.371462264150943,0.660040056945086,0.791343617224652
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",2013,"F",0.19,0.484571428571429,0.392099056603774,0.688255785264135,0.778081668881481
2015,"Bay of Biscay and Iberian waters","benthic","anp-8c9a",2014,"F",0.25,0.484571428571429,0.515919811320755,0.916555057199824,0.828577169195021
2015,"Widely distributed and migratory stocks","pelagic","boc-nea",2003,"F",0.414,1,0.414,1.00459265786247,1.03211000319738
2015,"Widely distributed and migratory stocks","pelagic","boc-nea",2004,"F",0.127,1,0.127,0.830182600738612,0.968746445325615
2015,"Widely distributed and migratory stocks","pelagic","boc-nea",2005,"F",0.17,1,0.17,0.872754824759567,1.00565917398316
2015,"Widely distributed and migratory stocks","pelagic","boc-nea",2006,"F",0.17,1,0.17,0.777350346092387,0.927716268970442
2015,"Widely distributed and migratory stocks","pelagic","boc-nea",2007,"F",0.605,1,0.605,0.871062359106002,0.953115912677465
2015,"Widely distributed and migratory stocks","pelagic","boc-nea",2008,"F",0.806,1,0.806,1.00013250332955,0.991289796837821
2015,"Widely distributed and migratory stocks","pelagic","boc-nea",2009,"F",2.334,1,2.334,1.3572350480473,1.12589747699842
2015,"Widely distributed and migratory stocks","pelagic","boc-nea",2010,"F",2.377,1,2.377,1.46706002079545,1.11433879093208
2015,"Widely distributed and migratory stocks","pelagic","boc-nea",2011,"F",0.637,1,0.637,0.913178958231985,0.688229382423074
2015,"Widely distributed and migratory stocks","pelagic","boc-nea",2012,"F",1.188,1,1.188,1.06957269960871,0.799148425539099
2015,"Widely distributed and migratory stocks","pelagic","boc-nea",2013,"F",1.326,1,1.326,1.11131972113217,0.839276851827885
2015,"Widely distributed and migratory stocks","pelagic","boc-nea",2014,"F",1.846,1,1.846,1.21523106296936,0.995079715462841
2015,"Celtic Seas","demersal","bss-47",1985,"F",0.17,0.269933333333333,0.62978513213139,0.987471557089959,0.966735433520019
2015,"Celtic Seas","demersal","bss-47",1986,"F",0.2,0.269933333333333,0.740923684860459,0.96521462833655,1.01578586232474
2015,"Celtic Seas","demersal","bss-47",1987,"F",0.257,0.269933333333333,0.95208693504569,1.12194648808437,1.18699835121218
2015,"Celtic Seas","demersal","bss-47",1988,"F",0.204,0.269933333333333,0.755742158557668,1.06318266267998,1.06517676665286
2015,"Celtic Seas","demersal","bss-47",1989,"F",0.208,0.269933333333333,0.770560632254878,1.10575914256251,1.10993593214944
2015,"Celtic Seas","demersal","bss-47",1990,"F",0.217,0.269933333333333,0.803902198073598,0.974455014753875,1.11907109149671
2015,"Celtic Seas","demersal","bss-47",1991,"F",0.261,0.269933333333333,0.966905408742899,1.13554388200185,1.0964144813863
2015,"Celtic Seas","demersal","bss-47",1992,"F",0.252,0.269933333333333,0.933563842924179,0.940762249088914,1.01171849936159
2015,"Celtic Seas","demersal","bss-47",1993,"F",0.218,0.269933333333333,0.807606816497901,1.02849633556982,1.07529954697461
2015,"Celtic Seas","demersal","bss-47",1994,"F",0.188,0.269933333333333,0.696468263768832,1.04423843125363,1.00265729971086
2015,"Celtic Seas","demersal","bss-47",1995,"F",0.204,0.269933333333333,0.755742158557668,1.01641033103539,1.15716054886904
2015,"Celtic Seas","demersal","bss-47",1996,"F",0.28,0.269933333333333,1.03729315880464,1.0727642402387,1.06428955777802
2015,"Celtic Seas","demersal","bss-47",1997,"F",0.27,0.269933333333333,1.00024697456162,1.09359315318303,1.17546343601702
2015,"Celtic Seas","demersal","bss-47",1998,"F",0.263,0.269933333333333,0.974314645591504,1.19227095532645,1.18883517377519
2015,"Celtic Seas","demersal","bss-47",1999,"F",0.283,0.269933333333333,1.04840701407755,1.29375907072975,1.29946738257594
2015,"Celtic Seas","demersal","bss-47",2000,"F",0.257,0.269933333333333,0.95208693504569,1.31341716875457,1.14092009887157
2015,"Celtic Seas","demersal","bss-47",2001,"F",0.258,0.269933333333333,0.955791553469993,1.1470910567999,1.08102996549305
2015,"Celtic Seas","demersal","bss-47",2002,"F",0.253,0.269933333333333,0.937268461348481,1.14821747023399,1.0430184490283
2015,"Celtic Seas","demersal","bss-47",2003,"F",0.288,0.269933333333333,1.06693010619906,1.10500460548176,0.992547504057632
2015,"Celtic Seas","demersal","bss-47",2004,"F",0.294,0.269933333333333,1.08915781674488,1.13002889057122,0.954681676005506
2015,"Celtic Seas","demersal","bss-47",2005,"F",0.328,0.269933333333333,1.21511484317115,1.15177714995123,1.01427259415859
2015,"Celtic Seas","demersal","bss-47",2006,"F",0.323,0.269933333333333,1.19659175104964,0.98086374232844,0.930538869053293
2015,"Celtic Seas","demersal","bss-47",2007,"F",0.298,0.269933333333333,1.10397629044208,1.03699534998534,1.16535741196089
2015,"Celtic Seas","demersal","bss-47",2008,"F",0.291,0.269933333333333,1.07804396147197,0.996303267559109,0.999581624791889
2015,"Celtic Seas","demersal","bss-47",2009,"F",0.28,0.269933333333333,1.03729315880464,0.877659295600877,0.829421024528537
2015,"Celtic Seas","demersal","bss-47",2010,"F",0.321,0.269933333333333,1.18918251420104,0.797644598925149,0.777874654561827
2015,"Celtic Seas","demersal","bss-47",2011,"F",0.302,0.269933333333333,1.11879476413929,0.741035254177316,0.707387127783981
2015,"Celtic Seas","demersal","bss-47",2012,"F",0.338,0.269933333333333,1.25216102741418,0.728120134384227,0.902696021236402
2015,"Celtic Seas","demersal","bss-47",2013,"F",0.413,0.269933333333333,1.53000740923685,0.763640241195214,0.805092029864063
2015,"Celtic Seas","demersal","bss-47",2014,"F",0.379,0.269933333333333,1.40405038281057,0.772673422313444,0.784788294472452
2015,"The Baltic Sea","demersal","cod-2224",1994,"F",1.021,1.04447619047619,0.977523479529497,0.977523479529497,1.01478320282998
2015,"The Baltic Sea","demersal","cod-2224",1995,"F",1.144,1.04447619047619,1.09528585757272,1.09528585757272,1.14118547853499
2015,"The Baltic Sea","demersal","cod-2224",1996,"F",1.109,1.04447619047619,1.06177623780432,1.06177623780432,1.18421041403434
2015,"The Baltic Sea","demersal","cod-2224",1997,"F",1.117,1.04447619047619,1.06943557946567,1.06943557946567,1.3457015083157
2015,"The Baltic Sea","demersal","cod-2224",1998,"F",1.131,1.04447619047619,1.08283942737303,1.08283942737303,1.39393468338283
2015,"The Baltic Sea","demersal","cod-2224",1999,"F",1.249,1.04447619047619,1.19581471687791,1.19581471687791,1.33461923354987
2015,"The Baltic Sea","demersal","cod-2224",2000,"F",1.216,1.04447619047619,1.16421993252485,1.16421993252485,1.26310287995267
2015,"The Baltic Sea","demersal","cod-2224",2001,"F",1.256,1.04447619047619,1.20251664083159,1.20251664083159,1.20336917496175
2015,"The Baltic Sea","demersal","cod-2224",2002,"F",1.22,1.04447619047619,1.16804960335552,1.16804960335552,1.15245865115724
2015,"The Baltic Sea","demersal","cod-2224",2003,"F",1.116,1.04447619047619,1.068478161758,1.068478161758,1.13067894338994
2015,"The Baltic Sea","demersal","cod-2224",2004,"F",1.089,1.04447619047619,1.04262788365095,1.04262788365095,1.18023889241618
2015,"The Baltic Sea","demersal","cod-2224",2005,"F",0.977,1.04447619047619,0.935397100392085,0.935397100392085,1.1054111105607
2015,"The Baltic Sea","demersal","cod-2224",2006,"F",0.868,1.04447619047619,0.831038570256223,0.831038570256223,1.02044404835409
2015,"The Baltic Sea","demersal","cod-2224",2007,"F",0.9,1.04447619047619,0.861675936901614,0.861675936901614,1.06196804904812
2015,"The Baltic Sea","demersal","cod-2224",2008,"F",0.949,1.04447619047619,0.908589404577368,0.908589404577368,0.973297080026454
2015,"The Baltic Sea","demersal","cod-2224",2009,"F",1.008,1.04447619047619,0.965077049329808,0.965077049329808,0.973105886133592
2015,"The Baltic Sea","demersal","cod-2224",2010,"F",0.988,1.04447619047619,0.945928695176438,0.945928695176438,0.843605952664812
2015,"The Baltic Sea","demersal","cod-2224",2011,"F",0.92,1.04447619047619,0.880824291054983,0.880824291054983,0.800434106884588
2015,"The Baltic Sea","demersal","cod-2224",2012,"F",0.878,1.04447619047619,0.840612747332908,0.840612747332908,0.839891236951185
2015,"The Baltic Sea","demersal","cod-2224",2013,"F",0.936,1.04447619047619,0.896142974377678,0.896142974377678,0.844802779755053
2015,"The Baltic Sea","demersal","cod-2224",2014,"F",0.842,1.04447619047619,0.806145709856843,0.806145709856843,0.853725335638941
2015,"Greater North Sea","demersal","cod-347d",1963,"F",0.469,0.804134615384615,0.583235680975726,0.583235680975726,0.71205808241707
2015,"Greater North Sea","demersal","cod-347d",1964,"F",0.513,0.804134615384615,0.637952887719718,0.637952887719718,0.778530255797262
2015,"Greater North Sea","demersal","cod-347d",1965,"F",0.565,0.804134615384615,0.702618677508071,0.702618677508071,0.873081037456735
2015,"Greater North Sea","demersal","cod-347d",1966,"F",0.57,0.804134615384615,0.708836541910797,0.708836541910797,0.908212482649711
2015,"Greater North Sea","demersal","cod-347d",1967,"F",0.607,0.804134615384615,0.754848738490972,0.752843363658894,1.01933148377923
2015,"Greater North Sea","demersal","cod-347d",1968,"F",0.644,0.804134615384615,0.800860935071147,0.739706639505454,1.19436606835598
2015,"Greater North Sea","demersal","cod-347d",1969,"F",0.609,0.804134615384615,0.757335884252063,0.684133086648742,1.13405051596547
2015,"Greater North Sea","demersal","cod-347d",1970,"F",0.646,0.804134615384615,0.803348080832237,0.877360219672859,1.27171585803545
2015,"Greater North Sea","demersal","cod-347d",1971,"F",0.733,0.804134615384615,0.911538921439675,0.839349737620493,1.39860916970097
2015,"Greater North Sea","demersal","cod-347d",1972,"F",0.794,0.804134615384615,0.987396867152936,1.04737857479787,1.15245680017404
2015,"Greater North Sea","demersal","cod-347d",1973,"F",0.78,0.804134615384615,0.969986846825302,1.02015236191772,1.26540578752218
2015,"Greater North Sea","demersal","cod-347d",1974,"F",0.742,0.804134615384615,0.922731077364582,1.09980797518456,1.2480506538625
2015,"Greater North Sea","demersal","cod-347d",1975,"F",0.801,0.804134615384615,0.996101877316752,1.11194249378701,1.38267720486249
2015,"Greater North Sea","demersal","cod-347d",1976,"F",0.857,0.804134615384615,1.06574195862729,1.35024222289293,1.20732605604759
2015,"Greater North Sea","demersal","cod-347d",1977,"F",0.813,0.804134615384615,1.0110247518833,1.22426623412087,1.09575202257532
2015,"Greater North Sea","demersal","cod-347d",1978,"F",0.902,0.804134615384615,1.12170273825182,1.17773555025054,1.05189876019746
2015,"Greater North Sea","demersal","cod-347d",1979,"F",0.844,0.804134615384615,1.0495755111802,1.1051375407279,1.03231336588792
2015,"Greater North Sea","demersal","cod-347d",1980,"F",0.919,0.804134615384615,1.14284347722109,1.13550953043566,0.980766296527571
2015,"Greater North Sea","demersal","cod-347d",1981,"F",0.936,0.804134615384615,1.16398421619036,0.960580263100926,0.962946324716406
2015,"Greater North Sea","demersal","cod-347d",1982,"F",1.05,0.804134615384615,1.30575152457252,1.0952948381283,0.952543450270763
2015,"Greater North Sea","demersal","cod-347d",1983,"F",1.042,0.804134615384615,1.29580294152816,1.07559503145394,1.10078122632721
2015,"Greater North Sea","demersal","cod-347d",1984,"F",0.972,0.804134615384615,1.20875283988999,1.12732774443403,1.17269943410951
2015,"Greater North Sea","demersal","cod-347d",1985,"F",0.937,0.804134615384615,1.16522778907091,1.21018672053184,1.21297141335428
2015,"Greater North Sea","demersal","cod-347d",1986,"F",0.991,0.804134615384615,1.23238072462035,1.2808418428402,1.17816927730557
2015,"Greater North Sea","demersal","cod-347d",1987,"F",0.972,0.804134615384615,1.20875283988999,1.0829293686696,1.10044117174605
2015,"Greater North Sea","demersal","cod-347d",1988,"F",0.994,0.804134615384615,1.23611144326199,1.42011528181267,1.16328096116836
2015,"Greater North Sea","demersal","cod-347d",1989,"F",1.011,0.804134615384615,1.25725218223126,1.47252073863124,1.20940512958239
2015,"Greater North Sea","demersal","cod-347d",1990,"F",0.935,0.804134615384615,1.16274064330982,1.39173726088985,1.24675411657936
2015,"Greater North Sea","demersal","cod-347d",1991,"F",0.924,0.804134615384615,1.14906134162382,1.23109868605016,1.15814431864349
2015,"Greater North Sea","demersal","cod-347d",1992,"F",0.911,0.804134615384615,1.13289489417673,1.18666752973914,1.15737207120475
2015,"Greater North Sea","demersal","cod-347d",1993,"F",0.933,0.804134615384615,1.16025349754873,1.10804507759975,1.17775606660019
2015,"Greater North Sea","demersal","cod-347d",1994,"F",0.956,0.804134615384615,1.18885567380127,1.09214377437598,1.17740240454038
2015,"Greater North Sea","demersal","cod-347d",1995,"F",1.005,0.804134615384615,1.24979074494799,1.03983444242323,1.13527413895298
2015,"Greater North Sea","demersal","cod-347d",1996,"F",1.003,0.804134615384615,1.24730359918689,1.03013155543787,1.04766808515795
2015,"Greater North Sea","demersal","cod-347d",1997,"F",0.98,0.804134615384615,1.21870142293435,1.04626900333493,1.09292198926656
2015,"Greater North Sea","demersal","cod-347d",1998,"F",1.001,0.804134615384615,1.2448164534258,1.08544449509987,1.07870449305411
2015,"Greater North Sea","demersal","cod-347d",1999,"F",1.061,0.804134615384615,1.31943082625852,1.32922028128243,1.19916098193889
2015,"Greater North Sea","demersal","cod-347d",2000,"F",1.065,0.804134615384615,1.3244051177807,1.37311836081646,1.19388732448541
2015,"Greater North Sea","demersal","cod-347d",2001,"F",0.993,0.804134615384615,1.23486787038144,1.32296361883425,1.19486325933629
2015,"Greater North Sea","demersal","cod-347d",2002,"F",0.939,0.804134615384615,1.167714934832,1.10499358344224,1.08622986740806
2015,"Greater North Sea","demersal","cod-347d",2003,"F",0.919,0.804134615384615,1.14284347722109,0.986691262769339,0.941634552753946
2015,"Greater North Sea","demersal","cod-347d",2004,"F",0.885,0.804134615384615,1.10056199928255,1.07161859601541,1.00475258763089
2015,"Greater North Sea","demersal","cod-347d",2005,"F",0.819,0.804134615384615,1.01848618916657,0.727092269800698,0.821378229303483
2015,"Greater North Sea","demersal","cod-347d",2006,"F",0.724,0.804134615384615,0.900346765514767,0.777583264389176,0.9349815368428
2015,"Greater North Sea","demersal","cod-347d",2007,"F",0.668,0.804134615384615,0.830706684204233,0.683979721889774,0.836254643755807
2015,"Greater North Sea","demersal","cod-347d",2008,"F",0.631,0.804134615384615,0.784694487624058,0.735661329257312,0.759461185537951
2015,"Greater North Sea","demersal","cod-347d",2009,"F",0.616,0.804134615384615,0.766040894415879,0.671901619872327,0.80769264377707
2015,"Greater North Sea","demersal","cod-347d",2010,"F",0.531,0.804134615384615,0.660337199569533,0.680651231461931,0.748101809204418
2015,"Greater North Sea","demersal","cod-347d",2011,"F",0.432,0.804134615384615,0.537223484395552,0.659570307465047,0.703022283690032
2015,"Greater North Sea","demersal","cod-347d",2012,"F",0.393,0.804134615384615,0.488724142054287,0.416551313944231,0.668649194854528
2015,"Greater North Sea","demersal","cod-347d",2013,"F",0.385,0.804134615384615,0.478775559009925,0.562973320305758,0.656826137732816
2015,"Greater North Sea","demersal","cod-347d",2014,"F",0.393,0.804134615384615,0.488724142054287,0.516431258242172,0.673620526042356
2015,"Celtic Seas","demersal","cod-7e-k",1971,"F",0.557,0.708568181818182,0.786092311639991,0.786092311639991,1.15561132440824
2015,"Celtic Seas","demersal","cod-7e-k",1972,"F",0.517,0.708568181818182,0.729640440067999,0.729640440067999,1.06351265480265
2015,"Celtic Seas","demersal","cod-7e-k",1973,"F",0.541,0.708568181818182,0.763511563011194,0.763511563011194,1.12663510741584
2015,"Celtic Seas","demersal","cod-7e-k",1974,"F",0.375,0.708568181818182,0.529236295987427,0.529236295987427,1.22401447058147
2015,"Celtic Seas","demersal","cod-7e-k",1975,"F",0.678,0.708568181818182,0.956859223145267,0.956859223145267,1.26542988715724
2015,"Celtic Seas","demersal","cod-7e-k",1976,"F",0.554,0.708568181818182,0.781858421272092,0.781858421272092,1.29099834019191
2015,"Celtic Seas","demersal","cod-7e-k",1977,"F",0.349,0.708568181818182,0.492542579465632,0.492542579465632,0.959598998621644
2015,"Celtic Seas","demersal","cod-7e-k",1978,"F",0.361,0.708568181818182,0.509478140937229,0.509478140937229,0.86145544616799
2015,"Celtic Seas","demersal","cod-7e-k",1979,"F",0.467,0.708568181818182,0.659075600603009,0.659075600603009,0.96697930775413
2015,"Celtic Seas","demersal","cod-7e-k",1980,"F",0.694,0.708568181818182,0.979439971774064,0.979439971774064,1.10024183765196
2015,"Celtic Seas","demersal","cod-7e-k",1981,"F",0.808,0.708568181818182,1.14032780575424,0.820882812708209,1.13670867376674
2015,"Celtic Seas","demersal","cod-7e-k",1982,"F",0.64,0.708568181818182,0.903229945151875,0.735974668578859,1.0456253048196
2015,"Celtic Seas","demersal","cod-7e-k",1983,"F",0.834,0.708568181818182,1.17702152227604,0.993160031890584,1.19664783326304
2015,"Celtic Seas","demersal","cod-7e-k",1984,"F",0.531,0.708568181818182,0.749398595118196,0.986514051936674,1.00173489115725
2015,"Celtic Seas","demersal","cod-7e-k",1985,"F",0.539,0.708568181818182,0.760688969432595,0.987471557089959,0.966735433520019
2015,"Celtic Seas","demersal","cod-7e-k",1986,"F",0.787,0.708568181818182,1.11069057317895,0.96521462833655,1.01578586232474
2015,"Celtic Seas","demersal","cod-7e-k",1987,"F",0.811,0.708568181818182,1.14456169612214,1.12194648808437,1.18699835121218
2015,"Celtic Seas","demersal","cod-7e-k",1988,"F",0.639,0.708568181818182,0.901818648362575,1.06318266267998,1.06517676665286
2015,"Celtic Seas","demersal","cod-7e-k",1989,"F",0.817,0.708568181818182,1.15302947685794,1.10575914256251,1.10993593214944
2015,"Celtic Seas","demersal","cod-7e-k",1990,"F",0.855,0.708568181818182,1.20665875485133,0.974455014753875,1.11907109149671
2015,"Celtic Seas","demersal","cod-7e-k",1991,"F",0.981,0.708568181818182,1.38448215030311,1.13554388200185,1.0964144813863
2015,"Celtic Seas","demersal","cod-7e-k",1992,"F",0.851,0.708568181818182,1.20101356769413,0.940762249088914,1.01171849936159
2015,"Celtic Seas","demersal","cod-7e-k",1993,"F",0.749,0.708568181818182,1.05706129518555,1.02849633556982,1.07529954697461
2015,"Celtic Seas","demersal","cod-7e-k",1994,"F",0.749,0.708568181818182,1.05706129518555,1.04423843125363,1.00265729971086
2015,"Celtic Seas","demersal","cod-7e-k",1995,"F",0.725,0.708568181818182,1.02319017224236,1.01641033103539,1.15716054886904
2015,"Celtic Seas","demersal","cod-7e-k",1996,"F",0.852,0.708568181818182,1.20242486448343,1.0727642402387,1.06428955777802
2015,"Celtic Seas","demersal","cod-7e-k",1997,"F",0.804,0.708568181818182,1.13468261859704,1.09359315318303,1.17546343601702
